iter	Passed	Remaining
0	141	141752
1	154	77334
2	168	55883
3	181	45107
4	195	38966
5	207	34401
6	221	31445
7	236	29329
8	252	27825
9	265	26282
10	278	25043
11	292	24096
12	305	23164
13	317	22368
14	331	21766
15	343	21124
16	355	20583
17	368	20128
18	381	19705
19	397	19477
20	407	19014
21	418	18611
22	431	18327
23	442	17997
24	453	17683
25	466	17480
26	482	17388
27	496	17223
28	508	17031
29	519	16796
30	533	16664
31	546	16544
32	559	16388
33	570	16195
34	582	16068
35	595	15935
36	606	15778
37	616	15598
38	627	15459
39	637	15303
40	645	15100
41	655	14959
42	665	14801
43	675	14682
44	685	14543
45	695	14434
46	707	14352
47	717	14232
48	727	14125
49	738	14027
50	746	13893
51	756	13795
52	766	13687
53	778	13634
54	789	13563
55	801	13503
56	811	13432
57	823	13369
58	834	13313
59	844	13237
60	857	13199
61	867	13123
62	872	12984
63	880	12871
64	891	12830
65	901	12752
66	908	12656
67	919	12607
68	930	12555
69	941	12511
70	956	12516
71	966	12452
72	974	12374
73	984	12317
74	996	12284
75	1004	12214
76	1016	12190
77	1027	12142
78	1038	12102
79	1048	12059
80	1060	12026
81	1070	11983
82	1085	11991
83	1097	11969
84	1107	11923
85	1115	11858
86	1124	11798
87	1132	11738
88	1141	11683
89	1150	11633
90	1159	11583
91	1167	11527
92	1177	11480
93	1187	11441
94	1195	11393
95	1203	11337
96	1212	11285
97	1221	11240
98	1229	11189
99	1237	11137
100	1245	11084
101	1252	11030
102	1261	10984
103	1268	10930
104	1277	10889
105	1285	10841
106	1295	10811
107	1305	10779
108	1312	10732
109	1323	10711
110	1334	10684
111	1346	10675
112	1359	10674
113	1375	10687
114	1388	10684
115	1401	10676
116	1416	10687
117	1426	10663
118	1436	10636
119	1446	10610
120	1452	10553
121	1461	10515
122	1471	10489
123	1478	10445
124	1488	10422
125	1498	10393
126	1509	10375
127	1520	10358
128	1531	10338
129	1542	10321
130	1553	10304
131	1564	10290
132	1575	10271
133	1585	10248
134	1595	10223
135	1604	10190
136	1612	10157
137	1622	10135
138	1631	10104
139	1639	10069
140	1648	10043
141	1656	10006
142	1665	9979
143	1672	9944
144	1681	9916
145	1689	9883
146	1698	9853
147	1706	9825
148	1716	9803
149	1726	9784
150	1735	9756
151	1744	9733
152	1751	9695
153	1761	9675
154	1769	9643
155	1777	9615
156	1785	9586
157	1794	9562
158	1802	9532
159	1811	9508
160	1819	9482
161	1828	9460
162	1838	9438
163	1846	9410
164	1855	9387
165	1863	9360
166	1872	9337
167	1880	9313
168	1890	9295
169	1897	9265
170	1907	9247
171	1915	9222
172	1924	9198
173	1934	9182
174	1942	9155
175	1949	9127
176	1957	9100
177	1964	9071
178	1974	9055
179	1983	9036
180	1992	9013
181	2003	9002
182	2012	8985
183	2024	8978
184	2036	8971
185	2045	8950
186	2055	8937
187	2066	8923
188	2076	8910
189	2082	8877
190	2087	8841
191	2095	8816
192	2102	8791
193	2109	8763
194	2118	8744
195	2126	8722
196	2134	8699
197	2141	8672
198	2149	8652
199	2156	8625
200	2166	8612
201	2173	8586
202	2182	8568
203	2189	8542
204	2198	8525
205	2205	8499
206	2213	8478
207	2221	8460
208	2230	8440
209	2236	8414
210	2245	8395
211	2249	8360
212	2255	8335
213	2263	8312
214	2269	8287
215	2278	8270
216	2285	8246
217	2293	8227
218	2300	8202
219	2307	8179
220	2313	8155
221	2320	8131
222	2328	8112
223	2335	8092
224	2343	8072
225	2350	8048
226	2358	8032
227	2365	8008
228	2372	7986
229	2380	7967
230	2388	7951
231	2395	7928
232	2402	7907
233	2410	7891
234	2420	7879
235	2428	7861
236	2435	7839
237	2444	7827
238	2452	7810
239	2460	7791
240	2469	7776
241	2477	7760
242	2488	7753
243	2495	7733
244	2504	7718
245	2512	7701
246	2519	7680
247	2528	7665
248	2536	7648
249	2545	7635
250	2553	7620
251	2559	7597
252	2566	7578
253	2573	7558
254	2579	7535
255	2586	7515
256	2592	7494
257	2598	7474
258	2604	7452
259	2610	7430
260	2618	7413
261	2624	7391
262	2630	7372
263	2638	7356
264	2644	7334
265	2650	7314
266	2655	7291
267	2661	7270
268	2668	7251
269	2674	7229
270	2681	7213
271	2687	7193
272	2693	7172
273	2699	7151
274	2704	7130
275	2714	7120
276	2721	7102
277	2729	7088
278	2736	7072
279	2743	7053
280	2749	7035
281	2755	7015
282	2763	7000
283	2768	6980
284	2774	6960
285	2780	6941
286	2786	6922
287	2792	6903
288	2798	6884
289	2804	6865
290	2811	6849
291	2817	6830
292	2822	6811
293	2829	6794
294	2835	6775
295	2842	6759
296	2849	6745
297	2856	6728
298	2862	6710
299	2867	6691
300	2875	6677
301	2881	6659
302	2887	6641
303	2894	6627
304	2900	6609
305	2907	6594
306	2913	6575
307	2921	6564
308	2928	6549
309	2936	6535
310	2944	6524
311	2954	6514
312	2961	6500
313	2971	6492
314	2980	6480
315	2987	6467
316	2995	6453
317	3003	6441
318	3010	6426
319	3018	6413
320	3024	6397
321	3030	6380
322	3038	6367
323	3047	6358
324	3055	6346
325	3062	6332
326	3077	6333
327	3085	6320
328	3091	6305
329	3099	6293
330	3105	6276
331	3113	6264
332	3119	6248
333	3126	6234
334	3134	6221
335	3140	6206
336	3146	6191
337	3154	6178
338	3160	6161
339	3166	6147
340	3172	6131
341	3179	6116
342	3184	6099
343	3193	6090
344	3200	6075
345	3205	6059
346	3214	6048
347	3219	6032
348	3225	6016
349	3231	6001
350	3237	5985
351	3243	5971
352	3251	5959
353	3257	5944
354	3263	5930
355	3269	5914
356	3275	5900
357	3281	5884
358	3287	5869
359	3294	5857
360	3300	5842
361	3306	5827
362	3312	5812
363	3318	5797
364	3325	5784
365	3330	5769
366	3336	5754
367	3343	5742
368	3351	5730
369	3359	5719
370	3364	5704
371	3370	5690
372	3376	5675
373	3383	5663
374	3393	5655
375	3400	5642
376	3408	5631
377	3415	5620
378	3424	5610
379	3431	5598
380	3442	5592
381	3449	5581
382	3459	5572
383	3469	5566
384	3477	5554
385	3484	5542
386	3491	5529
387	3497	5516
388	3505	5505
389	3510	5491
390	3516	5477
391	3523	5464
392	3528	5450
393	3536	5439
394	3542	5425
395	3548	5411
396	3555	5400
397	3563	5389
398	3571	5379
399	3579	5368
400	3586	5357
401	3592	5343
402	3598	5330
403	3604	5317
404	3609	5303
405	3617	5293
406	3623	5279
407	3629	5266
408	3636	5255
409	3644	5244
410	3652	5234
411	3659	5223
412	3665	5210
413	3672	5197
414	3677	5184
415	3685	5173
416	3690	5160
417	3698	5149
418	3703	5136
419	3709	5122
420	3715	5110
421	3721	5097
422	3728	5085
423	3733	5072
424	3739	5058
425	3746	5048
426	3752	5035
427	3763	5029
428	3772	5021
429	3780	5011
430	3787	4999
431	3796	4992
432	3802	4979
433	3809	4968
434	3815	4956
435	3821	4943
436	3828	4932
437	3834	4919
438	3840	4908
439	3846	4895
440	3852	4883
441	3859	4872
442	3869	4865
443	3877	4855
444	3884	4844
445	3893	4836
446	3901	4826
447	3911	4820
448	3919	4810
449	3928	4801
450	3936	4791
451	3944	4782
452	3951	4770
453	3958	4760
454	3966	4750
455	3973	4740
456	3979	4728
457	3985	4716
458	3991	4704
459	3997	4692
460	4004	4681
461	4011	4671
462	4018	4660
463	4023	4648
464	4029	4636
465	4037	4626
466	4042	4613
467	4048	4602
468	4054	4590
469	4060	4578
470	4065	4566
471	4072	4555
472	4080	4545
473	4088	4536
474	4094	4525
475	4101	4515
476	4108	4504
477	4113	4492
478	4120	4481
479	4125	4469
480	4133	4459
481	4138	4447
482	4144	4435
483	4150	4424
484	4155	4412
485	4161	4401
486	4170	4392
487	4179	4385
488	4186	4375
489	4194	4365
490	4203	4357
491	4209	4346
492	4216	4335
493	4222	4324
494	4229	4314
495	4234	4303
496	4240	4291
497	4246	4280
498	4252	4269
499	4258	4258
500	4265	4248
501	4272	4238
502	4280	4229
503	4289	4221
504	4297	4212
505	4304	4202
506	4312	4192
507	4318	4182
508	4327	4174
509	4334	4164
510	4343	4156
511	4350	4146
512	4359	4138
513	4366	4129
514	4380	4124
515	4392	4119
516	4402	4113
517	4413	4106
518	4422	4098
519	4431	4090
520	4440	4082
521	4450	4075
522	4458	4066
523	4466	4057
524	4473	4047
525	4482	4039
526	4490	4029
527	4497	4020
528	4505	4011
529	4512	4002
530	4520	3992
531	4527	3982
532	4534	3973
533	4544	3965
534	4550	3955
535	4556	3944
536	4563	3934
537	4569	3924
538	4577	3915
539	4583	3904
540	4589	3894
541	4595	3883
542	4603	3874
543	4609	3863
544	4614	3852
545	4621	3842
546	4626	3831
547	4633	3821
548	4639	3811
549	4646	3801
550	4654	3792
551	4660	3782
552	4668	3773
553	4676	3764
554	4684	3755
555	4689	3744
556	4695	3734
557	4702	3724
558	4708	3714
559	4715	3705
560	4721	3694
561	4727	3684
562	4733	3673
563	4738	3663
564	4744	3653
565	4750	3642
566	4756	3632
567	4763	3623
568	4769	3612
569	4778	3604
570	4785	3595
571	4791	3585
572	4798	3575
573	4803	3565
574	4810	3555
575	4816	3545
576	4821	3534
577	4829	3525
578	4835	3516
579	4843	3507
580	4850	3497
581	4860	3490
582	4867	3481
583	4878	3475
584	4886	3466
585	4896	3459
586	4905	3451
587	4914	3443
588	4920	3433
589	4931	3427
590	4942	3420
591	4952	3413
592	4965	3407
593	4976	3401
594	4986	3394
595	5002	3391
596	5014	3384
597	5024	3377
598	5032	3368
599	5044	3363
600	5055	3356
601	5062	3347
602	5073	3340
603	5083	3333
604	5094	3326
605	5106	3319
606	5113	3310
607	5121	3301
608	5127	3291
609	5132	3281
610	5139	3272
611	5146	3262
612	5154	3254
613	5160	3243
614	5165	3233
615	5171	3224
616	5178	3214
617	5186	3205
618	5192	3195
619	5199	3186
620	5206	3177
621	5213	3168
622	5219	3158
623	5224	3148
624	5230	3138
625	5235	3128
626	5242	3118
627	5248	3109
628	5254	3099
629	5260	3089
630	5267	3080
631	5273	3070
632	5279	3060
633	5285	3051
634	5290	3041
635	5298	3032
636	5305	3023
637	5312	3014
638	5321	3006
639	5331	2999
640	5338	2990
641	5351	2984
642	5359	2975
643	5367	2967
644	5377	2959
645	5385	2951
646	5394	2943
647	5401	2933
648	5409	2925
649	5417	2916
650	5423	2907
651	5429	2898
652	5435	2888
653	5441	2878
654	5447	2869
655	5453	2859
656	5460	2850
657	5467	2841
658	5472	2831
659	5481	2823
660	5487	2814
661	5493	2804
662	5499	2795
663	5505	2786
664	5511	2776
665	5518	2767
666	5526	2759
667	5532	2749
668	5540	2741
669	5546	2731
670	5552	2722
671	5558	2713
672	5564	2703
673	5571	2694
674	5576	2685
675	5582	2675
676	5590	2667
677	5595	2657
678	5601	2648
679	5608	2639
680	5614	2630
681	5624	2622
682	5631	2613
683	5640	2605
684	5646	2596
685	5653	2587
686	5659	2578
687	5665	2569
688	5671	2559
689	5677	2550
690	5683	2541
691	5689	2532
692	5695	2522
693	5703	2514
694	5708	2505
695	5714	2495
696	5721	2487
697	5727	2478
698	5735	2469
699	5742	2461
700	5749	2452
701	5755	2443
702	5760	2433
703	5767	2425
704	5773	2415
705	5782	2408
706	5789	2399
707	5797	2390
708	5804	2382
709	5813	2374
710	5823	2366
711	5836	2360
712	5845	2352
713	5854	2345
714	5862	2336
715	5870	2328
716	5879	2320
717	5886	2311
718	5895	2303
719	5900	2294
720	5906	2285
721	5913	2276
722	5918	2267
723	5924	2258
724	5932	2250
725	5942	2242
726	5950	2234
727	5955	2225
728	5962	2216
729	5968	2207
730	5975	2198
731	5982	2190
732	5987	2181
733	5995	2172
734	6001	2163
735	6009	2155
736	6015	2146
737	6021	2137
738	6028	2128
739	6034	2120
740	6043	2112
741	6051	2104
742	6059	2095
743	6064	2086
744	6071	2078
745	6077	2069
746	6084	2060
747	6091	2052
748	6097	2043
749	6104	2034
750	6110	2025
751	6116	2017
752	6123	2008
753	6130	2000
